Shipment_ID,Customer_Name,Origin_City,Origin_State,Destination_City,Destination_State,Pickup_Date,Delivery_Date,Distance_Miles,Freight_Type,Status,Cost_USD,Revenue_USD,Fuel_Gallons,Deadhead_Miles
SHP0001,"Smith, Colon and Curtis",Raleigh,NC,Montgomery,AL,3/23/2025,3/23/2025,601,Refrigerated,On Time,788.94,995.87,84.57,70
SHP0002,Olson-Fox,Atlanta,GA,Montgomery,AL,4/7/2025,4/7/2025,1508,Refrigerated,On Time,2413.24,3134.56,205.31,128
SHP0003,Perez and Sons,Knoxville,TN,Dallas,TX,2/20/2025,2/20/2025,810,Flatbed,On Time,1093.90,1407.71,116.63,28
SHP0004,Peters-Thompson,San Antonio,TX,Columbia,SC,6/19/2025,6/19/2025,958,Dry Van,On Time,1533.85,1769.96,139.05,35
SHP0005,"Wilkinson, Olson and Sparks",Augusta,GA,Tampa,FL,7/23/2025,7/23/2025,1231,Flatbed,On Time,1933.22,2357.52,180.25,107
SHP0006,"King, Webb and Booth",Little Rock,AR,Greenville,SC,4/5/2025,4/10/2025,1449,Dry Van,On Time,2313.88,3217.03,222.13,54
SHP0007,Brooks-Farmer,Montgomery,AL,Charleston,SC,4/8/2025,4/8/2025,279,Flatbed,Delayed,460.38,587.29,44.10,36
SHP0008,Jackson-Williams,Raleigh,NC,Orlando,FL,5/26/2025,5/26/2025,1764,Dry Van,Delayed,2370.16,3107.79,299.47,113
SHP0009,Martin LLC,Houston,TX,New Orleans,LA,3/13/2025,3/13/2025,1674,Dry Van,Delayed,2102.96,2788.48,285.57,214
SHP0010,Johnson and Sons,Greenville,SC,Knoxville,TN,7/16/2025,7/16/2025,317,Refrigerated,On Time,470.54,615.74,47.42,24
SHP0011,Lopez-Hammond,Fort Smith,AR,Savannah,GA,7/29/2025,8/2/2025,247,Refrigerated,On Time,322.22,442.11,38.92,12
SHP0012,"Duncan, Powers and Robinson",Hattiesburg,MS,Dallas,TX,7/20/2025,7/20/2025,1388,Flatbed,On Time,1688.89,2263.81,209.45,102
SHP0013,Huffman PLC,Charleston,SC,Miami,FL,6/5/2025,6/10/2025,1648,Flatbed,Delayed,2645.88,3417.78,268.49,198
SHP0014,"Haynes, Wilson and Lopez",Hattiesburg,MS,Raleigh,NC,4/22/2025,4/25/2025,983,Refrigerated,On Time,1760.27,2191.15,162.51,112
SHP0015,Moore-Baker,Montgomery,AL,Memphis,TN,4/15/2025,4/21/2025,452,Refrigerated,On Time,615.36,836.00,68.26,46
SHP0016,Charles-Fowler,New Orleans,LA,Miami,FL,6/16/2025,6/16/2025,803,Dry Van,On Time,1106.87,1353.78,111.50,110
SHP0017,"Stewart, Adams and Martinez",Shreveport,LA,Atlanta,GA,3/3/2025,3/3/2025,1580,Flatbed,Delayed,2285.67,2996.84,260.02,112
SHP0018,"Lee, Martinez and Hahn",Orlando,FL,Little Rock,AR,6/11/2025,6/11/2025,833,Dry Van,On Time,1013.40,1242.15,151.00,76
SHP0019,Doyle Ltd,San Antonio,TX,Fayetteville,AR,3/15/2025,3/15/2025,1211,Dry Van,On Time,1713.23,2029.97,199.13,83
SHP0020,"Johnson, Figueroa and Hall",Atlanta,GA,Charlotte,NC,4/8/2025,4/8/2025,1214,Flatbed,On Time,1887.36,2396.80,188.46,164
SHP0021,"Gonzalez, Horton and Freeman",Knoxville,TN,Greenville,SC,5/20/2025,5/25/2025,1612,Flatbed,Delayed,2639.53,3482.87,292.74,149
SHP0022,Davis-Olson,Atlanta,GA,Miami,FL,2/16/2025,2/16/2025,1889,Refrigerated,On Time,2970.01,4008.23,312.92,38
SHP0023,Wood-Jimenez,Savannah,GA,Dallas,TX,4/7/2025,4/7/2025,1307,Dry Van,Delayed,1992.31,2563.34,202.24,139
